Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,11901
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,12053
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,11869
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,11931
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,11851
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,12233
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,12182
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,FlowTime,TimeInSystem,Observations,12074
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,12245
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,11982
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,11901
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,12054
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,11868
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,11930
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,11850
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,12230
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,12184
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberCreated,Total,12074
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,12240
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,11981
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,11901
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,12053
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,11869
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,11931
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,11851
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,12233
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,12182
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Throughput,NumberDestroyed,Total,12074
Scenario1,1,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.273801424208279
Scenario1,2,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.257802435126786
Scenario1,3,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.257671356138641
Scenario1,4,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.276147174050501
Scenario1,5,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.257316885809573
Scenario1,6,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.266316276417067
Scenario1,7,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.253858846983654
Scenario1,8,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.281313780541751
Scenario1,9,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.289055845600763
Scenario1,10,Server,Server1,InputBuffer,Run,Content,NumberInStation,Average,0.278860441998495
Scenario1,1,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,2,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,3,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,4,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,5,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,6,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,7,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,8,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,9,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,10,Server,Server1,InputBuffer,Run,Content,NumberInStation,Maximum,2
Scenario1,1,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,2,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,3,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,4,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,5,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,6,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,7,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,8,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,9,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,10,Server,Server1,InputBuffer,Run,Content,NumberInStation,Minimum,0
Scenario1,1,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,2,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,3,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,4,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,5,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,6,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,7,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,8,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,9,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,10,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Average,0
Scenario1,1,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,2,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,3,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,4,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,5,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,6,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,7,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,8,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,9,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,10,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Maximum,0
Scenario1,1,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,2,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,3,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,4,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,5,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,6,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,7,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,8,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,9,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,10,Server,Server1,InputBuffer,Run,Costs,CostPerItem,Minimum,0
Scenario1,1,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,2,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,3,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,4,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,5,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,6,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,7,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,8,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,9,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,10,Server,Server1,InputBuffer,Run,Costs,TotalCost,Total,0
Scenario1,1,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,2,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,3,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,4,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,5,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,6,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,7,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,8,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
Scenario1,9,Server,Server1,InputBuffer,Run,EntryQueue,NumberWaiting,Average,0
